itemid,label,fluid,category,
50853,25-OH Vitamin D,Blood,Chemistry,
50855,Absolute Hemoglobin,Blood,Chemistry,
50861,Alanine Aminotransferase (ALT),Blood,Chemistry,
50862,Albumin,Blood,Chemistry,
50863,Alkaline Phosphatase,Blood,Chemistry,
50868,Anion Gap,Blood,Chemistry,
50878,Asparate Aminotransferase (AST),Blood,Chemistry,
50882,Bicarbonate,Blood,Chemistry,
50883,"Bilirubin, Direct",Blood,Chemistry,
50884,"Bilirubin, Indirect",Blood,Chemistry,
50885,"Bilirubin, Total",Blood,Chemistry,
50889,C-Reactive Protein,Blood,Chemistry,
50893,"Calcium, Total",Blood,Chemistry,
50902,Chloride,Blood,Chemistry,
50912,Creatinine,Blood,Chemistry,
50920,Estimated GFR (MDRD equation),Blood,Chemistry,
50924,Ferritin,Blood,Chemistry,
50925,Folate,Blood,Chemistry,
50927,Gamma Glutamyltransferase,Blood,Chemistry,
50931,Glucose,Blood,Chemistry,#NAME?
50952,Iron,Blood,Chemistry,
50954,Lactate Dehydrogenase (LD),Blood,Chemistry,
50956,Lipase,Blood,Chemistry,
50960,Magnesium,Blood,Chemistry,
50970,Phosphate,Blood,Chemistry,
50971,Potassium,Blood,Chemistry,
51006,Urea Nitrogen,Blood,Chemistry,
51010,Vitamin B12,Blood,Chemistry,
51070,"Albumin/Creatinine, Urine",Urine,Chemistry,
51094,pH,Urine,Chemistry,
51099,Protein/Creatinine Ratio,Urine,Chemistry,
51133,Absolute Lymphocyte Count,Blood,Hematology,
51146,Basophils,Blood,Hematology,
51199,Eosinophil Count,Blood,Hematology,
51200,Eosinophils,Blood,Hematology,
51217,Glyco A,Blood,Hematology,"systemic inflammation, novel marker"
51218,Granulocyte Count,Blood,Hematology,
51221,Hematocrit,Blood,Hematology,
51222,Hemoglobin,Blood,Hematology,
51248,MCH,Blood,Hematology,
51249,MCHC,Blood,Hematology,
51250,MCV,Blood,Hematology,
51255,Myelocytes,Blood,Hematology,
51256,Neutrophils,Blood,Hematology,
51277,RDW,Blood,Hematology,
51279,Red Blood Cells,Blood,Hematology,
51288,Sedimentation Rate,Blood,Hematology,
51300,WBC Count,Blood,Hematology,
51301,White Blood Cells,Blood,Hematology,
51478,Glucose,Urine,Hematology,
51491,pH,Urine,Hematology,
51492,Protein,Urine,Hematology,
51493,RBC,Urine,Hematology,
51506,Urine Appearance,Urine,Hematology,
51508,Urine Color,Urine,Hematology,
51516,WBC,Urine,Hematology,
51560,Anti-SARS-CoV-2 IgA,Blood,Chemistry,
51624,Free Calcium,Blood,Chemistry,
51638,Hematocrit,Blood,Chemistry,
51639,Hematocrit,Blood,Chemistry,
51640,Hemoglobin,Blood,Chemistry,
51652,High-Sensitivity CRP,Blood,Chemistry,
51691,MCV,Blood,Chemistry,
51730,Serum Folate,Blood,Chemistry,
51739,Total CO2,Blood,Chemistry,
51755,White Blood Cells,Blood,Chemistry,
51756,White Blood Cells,Blood,Chemistry,
51770,MDRDgfr,Blood,Chemistry,
51992,Protein,Urine,Chemistry,
52000,Urine  Creatinine,Urine,Chemistry,
52069,Absolute Basophil Count,Blood,Hematology,
52073,Absolute Eosinophil Count,Blood,Hematology,
52074,Absolute Monocyte Count,Blood,Hematology,
52075,Absolute Neutrophil Count,Blood,Hematology,
52142,Mean Platelet Volume,Blood,Hematology,
52151,NRBC,Blood,Hematology,
52170,Rbc,Blood,Hematology,
52500,Anion Gap,Blood,Chemistry,
52535,Chloride,Blood,Chemistry,
52546,Creatinine,Blood,Chemistry,
52562,Folate,Blood,Chemistry,
52569,Glucose,Blood,Chemistry,
52610,Potassium,Blood,Chemistry,
52623,Sodium,Blood,Chemistry,
52647,Urea Nitrogen,Blood,Chemistry,
52730,pH,Urine,Chemistry,
52769,Absolute Lymphocyte Count,Blood,Hematology,
53084,Alanine Aminotransferase,Blood,Chemistry,
53085,Albumin,Blood,Chemistry,
53086,Alkaline Phosphatase,Blood,Chemistry,
53088,Asparate Aminotransferase,Blood,Chemistry,
53089,"Bilirubin, Total",Blood,Chemistry,
53093,Gamma Glutamyltranferase,Blood,Chemistry,
53096,"Protein, Total",Blood,Chemistry,
53138,(Albumin),Blood,Chemistry,
53157,Absolute Lymphocyte Count,Blood,Chemistry,
53159,Absolute Neutrophil Count,Blood,Chemistry,
53161,Estimated GFR (CKD- EPI Refit),Blood,Chemistry,
53164,Neutrophils,Blood,Chemistry,
53180,Estimated GFR (CKD- EPI 2021),Blood,Blood Gas,
53181,CBC Only,Blood,Hematology,
53185,MCHC,Blood,Chemistry,
53186,MCH,Blood,Chemistry,
53188,Lymphocytes,Blood,Chemistry,
53189,Platelet Count,Blood,Chemistry,
